Year,BULK GRAINS,CORN/CORNMEAL,EMERGENCY POUCHES,FLOUR,NON-FAT DRY MILK,ODD COMMODITIES,OIL,PEAS/LENTILS/BEANS,SOY PREPARATIONS/CORN-SOY BLEND
2004,2081909.65,434970,,138970.01,67170.06,16812.6,238299.88,210389.61,373949.98
2005,2371187.69,214582.54,,82250.01,36551.33,1579.98,276958.57,229175.09,296665.96
2006,1818910,216780,,70350.01,11270.58,2230,213828.07,189575,359080
2007,1644301.19,202050,,92009.99,7452.41,1010.95,184170.16,212910,150463
2008,2085930,235649.45,,38710,,269.99,180648.96,255990,183890
2009,1617311,159250.55,,118359.99,,609.96,137669.89,218850,231033
2010,1615599,86460,,153669.99,,749.99,158890.06,165330,194357
2011,1138655,122490,990.039,89770,,840.003,157758.228,186386.8,145110
2012,1239690.001,50830,830.016,63480.013,,1290.004,93851.608,135780.001,150680
2013,783320.007,44240,3080.089,16110,,1160.013,93531.829,140020.024,140470
Change,-62.37%,-89.83%,,-88.41%,,-93.10%,-60.75%,-33.45%,-62.44%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
