year	africaCT	americasCT	asiaCT	africaRT	americasRT	asiaRT	africaCR	americasCR	asiaCR
2003	667.71	549.18	722.68	38	35	51	17.63	15.74	14.22
2004	737.80	570.53	603.01	28	7	90	26.23	84.79	6.72
2005	705.08	505.48	623.52	35	39	143	20.43	12.92	4.37
2006	756.20	530.49	644.11	29	20	57	26.13	26.89	11.33
2007	866.34	612.59	691.46	17	18	13	50.13	33.62	53.98
2008	1083.61	1197.62	1061.38	11	32	29	102.65	36.97	36.72
2009	990.79	985.22	891.51	7	34	22	138.60	29.19	40.35
2010	923.73	1223.70	838.77	13	15	13	68.68	80.14	62.15
2011	989.97	1801.50	1236.45	16	32	51	60.17	55.80	24.47
2012	1156.56	1509.40	938.09	28	57	30	40.69	26.32	31.49
