Processors,Dollars,ProcessPercent,,,,,,,,,,,
Cargill," 135,678,799 ",19.11,,,,,,,,,,,
Archer-Daniels-Midland," 107,524,801 ",15.14,,,,,Processors,Cargill,Archer-Daniels-Midland,Cal Western,Bunge,Didion,48 other Processors
Cal Western," 90,410,029 ",12.73,,,,,Percent-top5,19.11,15.14,12.73,10.03,7.39,0.00
Bunge," 71,234,456 ",10.03,,,,,Percent-others,0,0,0,0,0,35.6
Didion," 52,482,934 ",7.39,,,,,,,,,,,
48 others," 252,837,055 ",35.60,,,,,,,,,,,
,,,,,,,Shippers,Liberty Maritime,Maersk,Sealift,Dome,Reliance,18 other shippers
Shippers,Dollars,ShipperPercent,,,,,Percent-top5,23.26,21.94,13.34,8.38,5.85,0.00
Liberty Maritime," 49,378,974 ",23.26,,,,,Percent-others,0,0,0,0,0,27.23
Maersk," 46,564,270 ",21.94,,,,,,,,,,,
Sealift," 28,317,575 ",13.34,,,,,,,,,,,
Dome," 17,793,834 ",8.38,,,,,,,,,,,
Reliance," 12,425,369 ",5.85,,,,,,,,,,,
18 others," 57,802,198 ",27.23,,,,,,,,,,,
